,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
135,0.2263,Tue Sep 25 08:30:00 +0000 2018,0.0,0.787,0.213,136,"Plastic is everywhere. Are you surprised?

#PlasticsWatch https://t.co/q1QXHYgYAR",@BBC
134,0.4215,Tue Sep 25 08:53:02 +0000 2018,0.0,0.872,0.128,135,"♻️ It's so different from place to place… is there an easier way to sort this plastic recycling? 

https://t.co/75TG6dddQd",@BBC
133,0.0,Tue Sep 25 10:03:02 +0000 2018,0.0,1.0,0.0,134,"Who knew eating a pizza could be this filthy? 😂🍕 #QI

https://t.co/eeYWlRL9eV",@BBC
132,0.0,Tue Sep 25 10:39:01 +0000 2018,0.0,1.0,0.0,133,"RT @bbcpress: 👉 Meet the new #TheApprentice contestants. Who will be the first to hear the words ""you're fired""? Series starts 3 October on…",@BBC
131,0.0,Tue Sep 25 11:03:05 +0000 2018,0.0,1.0,0.0,132,"This is what happens when you teach African teenage girls to fly. ✈️

https://t.co/1Kp4Ael1FO",@BBC
130,0.0,Tue Sep 25 12:32:05 +0000 2018,0.0,1.0,0.0,131,Indonesian teenager survives 49 days adrift at sea in 'fishing hut'. https://t.co/5rKpohNfRi https://t.co/qlRvoxZGe2,@BBC
129,0.0,Tue Sep 25 13:05:02 +0000 2018,0.0,1.0,0.0,130,"In Sweden, you get paid double to be a parent.

(Via @BBCThree)

https://t.co/daXes3fiZX",@BBC
128,0.0,Tue Sep 25 14:00:23 +0000 2018,0.0,1.0,0.0,129,"🔤Scrabble players will now be able to use words such as ""OK"" and ""ew"" after a US dictionary company announced it wa… https://t.co/kMHWzb8Gwi",@BBC
127,0.5267,Tue Sep 25 15:02:02 +0000 2018,0.089,0.685,0.226,128,".@BTS_twt have now gone where no K-pop group has gone before: The United Nations.

In a powerful speech, Kim Nam-jo… https://t.co/bkZFU5VfFX",@BBC
126,0.6114,Tue Sep 25 16:02:03 +0000 2018,0.0,0.715,0.285,127,"Happy birthday to the one and only Will Smith! 🎉🎈

https://t.co/CqmihTvPYW",@BBC
125,0.0,Tue Sep 25 16:32:49 +0000 2018,0.0,1.0,0.0,126,"RT @BBCOne: **BREAKING** Meet your 2018 candidates, as introduced by @MattEdmondson on @bbciplayer &gt;&gt; https://t.co/oUaGVpPBuf

#TheApprenti…",@BBC
124,0.4019,Tue Sep 25 19:03:06 +0000 2018,0.0,0.863,0.137,125,"Christopher Eccleston narrates a film which asks whether, a century later, the lessons learnt in 1918 might help us… https://t.co/BiR6nIr1bz",@BBC
